Id,Name,Nationality,Age,Salary (per month),Bio,Link to Profile Image,Employed,Employee Name
1,Elara Vance,Filipina,35,"AED2,800.00",Experienced in large estates. Has two children being supported back home. Specializes in deep cleaning and organizing.,https://th.bing.com/th/id/OIP.LKs6LFKNTH-GZsF8dcD3mAHaHk?o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=3,FALSE,
2,Sofia Lopez,Mexican,42,"AED2,500.00",15 years experience in childcare and light housekeeping. Enjoys cooking vegetarian meals. Lives locally.,https://th.bing.com/th/id/OIP.LKs6LFKNTH-GZsF8dcD3mAHaHk?o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=4,FALSE,
3,Mei Lin,Chinese,29,"AED3,000.00","Recent immigrant, highly efficient and detail-oriented. Previously worked in hotel management. No dependents.",https://th.bing.com/th/id/OIP.LKs6LFKNTH-GZsF8dcD3mAHaHk?o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=5,FALSE,
4,Aisha Khan,Indian,50,"AED2,200.00",Gentle and patient. Has four adult children. Known for excellent laundry and ironing skills.,https://th.bing.com/th/id/OIP.LKs6LFKNTH-GZsF8dcD3mAHaHk?o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=6,FALSE,
5,Anya Petrova,Russian,31,"AED2,750.00",Background in professional window cleaning and maintenance. Good with pets (dogs). Studying business management online.,https://th.bing.com/th/id/OIP.LKs6LFKNTH-GZsF8dcD3mAHaHk?o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=7,FALSE,
6,Clara Dubois,French,55,"AED2,600.00",Focuses on high-end interior decoration upkeep and silver polishing. Has a history as a personal assistant.,https://th.bing.com/th/id/OIP.LKs6LFKNTH-GZsF8dcD3mAHaHk?o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=8,FALSE,
7,Fatima Al-Amri,Moroccan,24,"AED2,900.00",Bilingual (Arabic/French). Strong organizational skills and capable of managing household budgets.,https://th.bing.com/th/id/OIP.LKs6LFKNTH-GZsF8dcD3mAHaHk?o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=9,FALSE,
8,Isabella Silva,Brazilian,38,"AED2,400.00",Energetic and friendly. Specializes in organizing playrooms and general child supervision. Has one young child.,https://th.bing.com/th/id/OIP.LKs6LFKNTH-GZsF8dcD3mAHaHk?o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=10,FALSE,
9,Keiko Tanaka,Japanese,45,"AED3,100.00",Trained in traditional Japanese housekeeping (Kaizen). Very discreet and professional.,https://th.bing.com/th/id/OIP.LKs6LFKNTH-GZsF8dcD3mAHaHk?o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=11,TRUE,Mohamed Gamil
10,Lena Müller,German,27,"AED2,700.00",Highly punctual and structured worker. Prefers routine tasks. Interested in classic literature.,https://th.bing.com/th/id/OIP.LKs6LFKNTH-GZsF8dcD3mAHaHk?o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=12,FALSE,
11,Maria Santos,Portuguese,52,"AED2,300.00",Excellent traditional baker. Has three grown-up children. Prefers day-time hours.,https://th.bing.com/th/id/OIP.LKs6LFKNTH-GZsF8dcD3mAHaHk?o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=13,FALSE,
12,Olivia Jones,Jamaican,33,"AED2,850.00",Very quick and thorough. Has worked for high-profile families. Specializes in managing busy schedules.,https://th.bing.com/th/id/OIP.LKs6LFKNTH-GZsF8dcD3mAHaHk?o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=14,FALSE,
13,Priya Sharma,Nepali,26,"AED2,950.00",Fast learner with a cheerful disposition. Sends money home to support her parents and siblings.,https://th.bing.com/th/id/OIP.LKs6LFKNTH-GZsF8dcD3mAHaHk?o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=15,FALSE,
14,Rosa Hernandez,Colombian,40,"AED2,550.00","Talented seamstress and good with repairs. Has two children, one in college.",https://th.bing.com/th/id/OIP.LKs6LFKNTH-GZsF8dcD3mAHaHk?o=7rm=3&rs=1&pid=ImgDetMain&o=7&rm=16,FALSE,
